Gene ID	Gene Name	poly(A)+ Half-life	Total Half-life	Lower limit	Upper limit
YMR228W	MTF1	2.0	4.0	3.8	5.2
YMR229C	RRP5	1.9	33.9	21.8	48.7
YMR230W	RPS10B	5.0	28.8	19.6	41.9
YMR235C	RNA1	3.5	9.2	7.7	13.0
YMR236W	TAF9	5.4	13.3	10.7	18.3
YMR237W	BCH1	7.8	20.4	17.0	25.6
YMR238W	DFG5	2.0	4.5	4.0	6.4
YMR239C	RNT1	1.4	3.0	2.9	4.1
YMR240C	CUS1	1.9	2.9	2.7	4.5
YMR241W	YHM2	2.3	6.3	5.6	9.1
YMR242C	RPL20A	2.8	10.8	9.3	13.5
YMR243C	ZRC1	2.9	5.8	5.3	7.7
YMR244C-A	COA6	3.0	6.7	5.3	9.2
YMR246W	FAA4	3.4	51.2	34.9	77.8
YMR247C	RKR1	6.2	31.6	24.1	42.9
YMR255W	GFD1	4.7	10.0	7.2	15.5
YMR258C	ROY1	11.7	25.8	19.6	33.8
YMR259C	TRM732	3.1	14.5	9.7	19.9
YMR260C	TIF11	4.4	22.9	18.0	30.8
YMR263W	SAP30	1.8	2.9	2.5	4.3
YMR264W	CUE1	4.6	9.2	7.8	12.1
YMR266W	RSN1	2.9	6.1	5.4	7.8
YMR267W	PPA2	3.7	5.2	4.4	8.5
YMR270C	RRN9	3.8	4.8	4.1	9.0
YMR272C	SCS7	2.3	5.3	4.9	6.7
YMR273C	ZDS1	3.8	5.9	5.0	9.7
YMR274C	RCE1	2.0	3.0	2.7	5.5
YMR275C	BUL1	4.2	6.8	6.0	11.1
YMR276W	DSK2	5.4	26.4	17.5	41.3
YMR277W	FCP1	2.3	4.6	3.9	8.6
YMR281W	GPI12	8.3	13.1	8.8	20.6
YMR282C	AEP2	4.1	4.7	4.1	8.4
YMR283C	RIT1	2.6	4.6	4.0	8.2
YMR284W	YKU70	7.0	9.5	7.1	13.5
YMR285C	NGL2	2.6	3.7	3.5	5.7
YMR286W	MRPL33	3.7	5.5	4.3	8.6
YMR287C	DSS1	2.4	5.2	4.0	8.4
YMR288W	HSH155	1.9	4.6	4.2	6.0
