Gene ID	Gene Name	poly(A)+ Half-life	Total Half-life	Lower limit	Upper limit
YOL072W	THP1	4.6	10.1	5.6	18.9
YOL073C		11.1	17.0	11.9	24.0
YOL077C	BRX1	1.6	2.8	2.6	3.8
YOL077W-A	ATP19	3.3	9.3	7.1	13.9
YOL082W	ATG19	11.1	17.0	10.8	26.0
YOL083W	ATG34	9.6	20.3	16.7	25.1
YOL086C	ADH1	4.2	32.2	25.8	44.5
YOL086W-A	MHF1	6.7	9.8	7.7	16.5
YOL087C	DUF1	5.9	10.8	8.3	16.3
YOL088C	MPD2	11.5	13.5	9.8	21.7
YOL089C	HAL9	7.8	12.4	8.7	20.6
YOL092W	YPQ1	2.3	6.7	6.1	9.0
YOL093W	TRM10	2.4	3.8	3.4	4.8
YOL094C	RFC4	2.0	4.4	4.0	6.5
YOL095C	HMI1	2.3	4.8	3.7	8.9
YOL096C	COQ3	6.5	11.5	8.8	15.4
YOL097C	WRS1	3.1	10.5	8.0	15.5
YOL101C	IZH4	6.0	5.7	4.6	10.3
YOL102C	TPT1	1.9	4.3	3.9	6.4
YOL103W	ITR2	2.6	7.2	5.5	12.0
YOL104C	NDJ1	14.0	10.1	7.0	17.6
YOL105C	WSC3	3.7	8.4	6.6	13.2
YOL108C	INO4	3.5	3.6	3.2	5.2
YOL109W	ZEO1	5.0	14.3	11.4	18.1
YOL111C	MDY2	10.4	16.5	10.9	25.2
YOL112W	MSB4	2.7	3.4	3.1	6.1
YOL113W	SKM1	4.0	4.9	4.3	8.5
YOL116W	MSN1	17.7	25.0	15.9	40.9
YOL119C	MCH4	2.5	4.5	3.9	8.3
YOL120C	RPL18A	4.6	27.6	21.7	38.1
YOL121C	RPS19A	4.8	21.9	19.3	25.9
YOL122C	SMF1	2.0	3.9	3.6	5.7
YOL123W	HRP1	16.0	58.6	32.7	234.2
YOL124C	TRM11	1.2	2.3	2.3	2.9
YOL125W	TRM13	1.9	3.0	2.8	3.9
YOL126C	MDH2	1.0	1.9	2.0	2.8
YOL127W	RPL25	5.0	35.9	27.0	53.6
YOL129W	VPS68	6.6	15.6	11.6	21.4
YOL130W	ALR1	4.0	8.8	6.0	14.5
YOL136C	PFK27	4.3	6.4	4.6	12.2
YOL139C	CDC33	2.9	7.7	6.6	10.7
YOL140W	ARG8	1.2	3.6	3.4	4.4
YOL141W	PPM2	1.6	5.3	4.6	9.2
YOL142W	RRP40	1.5	2.5	2.4	3.5
YOL143C	RIB4	7.4	23.7	18.4	33.8
YOL144W	NOP8	3.0	5.2	4.9	6.7
YOL146W	PSF3	3.3	6.1	4.9	8.6
YOL147C	PEX11	3.4	5.8	5.2	8.0
YOL148C	SPT20	4.9	9.1	7.2	16.1
YOL149W	DCP1	1.8	3.4	3.0	5.2
YOL151W	GRE2	7.8	15.4	11.8	19.5
YOL152W	FRE7	14.1	30.0	19.2	50.0
YOL155C	HPF1	6.2	6.5	5.4	11.4
YOL158C	ENB1	2.4	3.8	3.5	6.0
YOL159C		3.9	6.8	5.0	12.8
YOL164W	BDS1	2.5	4.4	3.8	7.0
YOR001W	RRP6	1.9	4.2	3.9	5.6
YOR002W	ALG6	4.2	12.3	9.8	17.5
YOR003W	YSP3	10.7	31.2	20.9	49.6
YOR004W	UTP23	1.2	2.2	2.2	3.1
YOR005C	DNL4	8.1	8.8	6.5	14.4
YOR008C	SLG1	6.5	10.7	8.4	14.2
YOR011W	AUS1	2.3	6.6	5.7	9.9
YOR014W	RTS1	4.4	12.3	8.9	22.1
YOR016C	ERP4	3.5	10.4	7.1	17.0
YOR019W		8.0	31.1	19.4	46.4
YOR021C	SFM1	3.2	7.2	6.2	9.5
YOR023C	AHC1	4.6	7.7	6.4	12.1
YOR025W	HST3	3.4	6.1	5.4	8.5
YOR026W	BUB3	17.9	15.9	11.6	24.0
YOR030W	DFG16	4.9	10.6	6.6	20.0
YOR035C	SHE4	2.7	9.4	6.7	19.5
YOR036W	PEP12	4.0	5.9	4.9	9.3
YOR037W	CYC2	4.7	8.0	4.6	14.0
YOR038C	HIR2	2.4	4.7	4.0	7.5
YOR039W	CKB2	4.1	9.0	7.6	12.8
YOR040W	GLO4	15.2	36.8	24.2	50.3
YOR042W	CUE5	8.2	25.1	18.3	34.2
YOR045W	TOM6	2.6	5.8	5.2	7.9
YOR046C	DBP5	3.5	20.4	16.9	27.3
YOR047C	STD1	4.5	7.4	5.8	13.3
YOR048C	RAT1	2.6	15.9	11.8	20.9
YOR049C	RSB1	3.2	5.3	4.1	8.4
YOR051C	ETT1	3.7	7.4	6.6	9.7
YOR052C	TMC1	15.8	27.3	16.0	53.7
YOR054C	VHS3	7.3	14.1	8.6	23.1
YOR056C	NOB1	2.1	4.4	3.8	5.8
YOR057W	SGT1	4.8	9.3	6.1	17.8
YOR058C	ASE1	4.3	5.4	4.8	7.1
YOR059C		4.8	9.0	6.5	16.6
YOR060C	SLD7	4.3	6.5	5.4	11.0
YOR061W	CKA2	2.3	5.0	4.3	7.1
YOR063W	RPL3	4.6	17.6	13.2	24.3
YOR064C	YNG1	3.4	4.2	3.2	7.8
YOR065W	CYT1	5.3	9.1	7.1	14.4
YOR066W	MSA1	4.2	4.7	4.3	7.2
YOR067C	ALG8	2.0	4.9	4.4	6.2
YOR069W	VPS5	4.0	8.4	5.5	17.6
YOR070C	GYP1	4.2	5.6	4.5	9.0
YOR071C	NRT1	8.1	19.2	12.0	35.2
YOR073W	SGO1	2.3	3.2	2.8	5.4
YOR074C	CDC21	4.3	12.8	10.8	16.0
YOR075W	UFE1	7.9	10.5	6.6	19.7
YOR076C	SKI7	11.8	27.7	13.9	57.3
YOR077W	RTS2	1.0	1.2	1.2	2.8
YOR078W	BUD21	1.3	2.5	2.4	3.2
YOR079C	ATX2	1.9	3.3	2.8	6.9
YOR080W	DIA2	2.2	4.8	4.2	8.1
YOR081C	TGL5	2.7	6.2	4.8	10.8
YOR085W	OST3	4.3	15.9	11.9	24.2
YOR086C	TCB1	6.2	21.0	15.0	29.4
YOR087W	YVC1	2.6	4.2	3.7	5.4
YOR089C	VPS21	6.6	15.8	10.7	22.5
YOR090C	PTC5	8.3	22.0	15.4	30.6
YOR091W	TMA46	2.8	5.0	4.5	7.5
YOR092W	ECM3	2.4	4.3	3.7	5.6
YOR094W	ARF3	2.4	3.6	3.3	5.7
YOR095C	RKI1	2.4	5.2	4.4	8.4
YOR096W	RPS7A	4.3	34.4	24.0	49.0
YOR099W	KTR1	4.9	21.1	16.8	26.4
YOR101W	RAS1	1.4	2.4	2.2	3.8
YOR103C	OST2	4.5	5.9	4.9	9.9
YOR104W	PIN2	2.2	3.8	3.4	5.9
YOR106W	VAM3	7.2	6.1	4.7	12.4
YOR107W	RGS2	4.4	4.4	3.9	7.6
YOR108W	LEU9	2.0	5.0	4.3	7.1
YOR109W	INP53	6.1	28.6	16.1	50.3
YOR110W	TFC7	3.9	6.5	5.4	9.8
YOR112W	CEX1	4.7	27.8	14.9	47.2
YOR113W	AZF1	7.0	7.3	6.1	11.8
YOR115C	TRS33	3.2	4.9	4.4	7.1
YOR116C	RPO31	1.8	8.0	6.3	14.1
YOR117W	RPT5	4.7	14.0	9.5	20.3
YOR122C	PFY1	6.5	26.2	20.9	33.4
YOR125C	CAT5	5.3	10.6	8.1	15.2
YOR126C	IAH1	3.4	4.7	4.2	5.8
YOR127W	RGA1	2.0	3.7	3.4	5.8
YOR129C	AFI1	2.0	3.4	3.1	5.6
YOR130C	ORT1	2.3	4.5	3.8	6.6
YOR131C		8.1	10.3	7.3	15.3
YOR132W	VPS17	9.9	18.1	13.8	27.2
YOR136W	IDH2	5.2	17.5	13.3	24.5
YOR138C	RUP1	3.9	8.6	6.5	16.6
YOR142W	LSC1	6.5	8.6	7.1	13.8
YOR143C	THI80	1.0	2.3	2.2	3.2
YOR144C	ELG1	2.0	2.6	2.6	5.0
YOR145C	PNO1	1.3	2.6	2.5	3.5
YOR147W	MDM32	4.4	4.5	3.9	7.7
YOR148C	SPP2	3.4	7.7	5.9	13.4
YOR149C	SMP3	1.9	3.5	3.2	5.1
YOR150W	MRPL23	4.2	6.2	5.3	8.7
YOR153W	PDR5	2.9	42.4	26.8	65.8
YOR155C	ISN1	7.4	8.7	6.7	14.4
YOR157C	PUP1	6.9	18.9	13.4	26.6
YOR162C	YRR1	10.9	23.7	19.5	35.0
YOR163W	DDP1	8.2	13.1	10.2	18.4
YOR164C	GET4	5.8	17.2	12.9	28.4
YOR165W	SEY1	1.9	6.4	5.5	10.5
YOR166C	SWT1	2.0	5.9	4.6	11.5
YOR167C	RPS28A	6.2	36.8	26.5	54.9
YOR168W	GLN4	3.7	34.5	18.8	74.4
YOR171C	LCB4	3.7	7.2	5.5	13.2
YOR172W	YRM1	4.1	10.5	6.1	19.8
YOR174W	MED4	2.6	4.4	3.9	6.4
YOR175C	ALE1	2.8	6.3	5.4	8.6
YOR176W	HEM15	4.3	38.4	28.9	51.4
YOR177C	MPC54	5.3	14.2	9.6	22.9
YOR179C	SYC1	3.1	4.7	3.9	6.0
YOR180C	DCI1	4.2	10.0	6.0	19.8
YOR181W	LAS17	6.0	8.4	7.3	11.7
YOR182C	RPS30B	4.5	23.4	15.9	40.9
YOR184W	SER1	3.0	11.4	8.5	17.9
YOR187W	TUF1	4.5	13.7	11.5	17.2
YOR188W	MSB1	1.7	3.8	3.6	5.0
YOR189W	IES4	2.7	5.9	4.7	8.2
YOR191W	ULS1	3.8	22.7	11.9	42.4
YOR193W	PEX27	6.9	8.0	6.0	14.9
YOR194C	TOA1	4.3	10.4	5.6	18.4
YOR196C	LIP5	2.1	4.4	3.6	7.4
YOR197W	MCA1	4.9	14.6	12.5	18.2
YOR198C	BFR1	4.0	38.0	26.1	58.2
YOR201C	MRM1	4.2	7.8	5.7	14.6
YOR204W	DED1	2.5	9.8	6.3	20.5
YOR206W	NOC2	1.9	4.8	4.1	7.3
YOR207C	RET1	2.8	22.7	15.0	32.9
YOR208W	PTP2	2.5	4.6	3.6	8.4
YOR209C	NPT1	4.7	13.5	10.7	18.6
YOR210W	RPB10	3.0	8.5	6.7	14.7
YOR211C	MGM1	4.8	9.9	7.0	18.7
YOR212W	STE4	1.8	2.5	2.5	3.7
YOR213C	SAS5	1.2	2.6	2.6	4.2
YOR215C	AIM41	4.0	8.3	7.1	12.4
YOR216C	RUD3	3.9	9.5	7.0	16.0
YOR217W	RFC1	3.1	32.5	17.6	63.8
YOR219C	STE13	4.6	8.0	6.1	12.3
YOR220W	RCN2	6.9	13.5	9.6	23.3
YOR222W	ODC2	2.8	5.7	4.8	7.7
YOR223W		6.3	15.9	9.8	24.0
YOR224C	RPB8	3.7	6.8	6.2	9.2
YOR226C	ISU2	2.8	7.4	5.8	12.4
YOR227W	HER1	8.3	16.2	10.6	25.8
YOR228C	MCP1	6.0	9.1	6.2	14.4
YOR229W	WTM2	1.2	2.9	2.7	3.8
YOR232W	MGE1	2.5	3.7	3.5	5.1
YOR233W	KIN4	1.0	1.9	1.9	2.8
YOR234C	RPL33B	3.1	11.8	9.9	16.4
YOR236W	DFR1	1.3	2.9	2.6	3.7
YOR239W	ABP140	2.0	11.5	8.8	15.7
YOR241W	MET7	2.2	4.7	4.0	10.0
YOR243C	PUS7	1.2	3.4	3.1	4.9
YOR245C	DGA1	7.4	10.3	7.8	15.9
YOR246C	ENV9	2.2	5.6	4.9	7.5
YOR247W	SRL1	2.8	11.8	8.6	17.0
YOR249C	APC5	4.1	6.8	5.1	11.7
YOR250C	CLP1	2.6	5.4	4.5	8.1
YOR251C	TUM1	3.8	9.3	8.3	11.1
YOR252W	TMA16	1.6	2.4	2.3	3.0
YOR253W	NAT5	3.5	29.9	22.7	46.6
YOR254C	SEC63	2.7	8.0	7.1	10.5
YOR256C	TRE2	7.0	12.1	8.4	19.2
YOR257W	CDC31	10.4	14.0	7.9	22.8
YOR259C	RPT4	6.4	12.5	8.3	22.0
YOR261C	RPN8	6.4	13.2	8.8	19.9
YOR262W	GPN2	2.7	4.9	4.2	8.7
YOR264W	DSE3	3.6	5.2	4.1	9.4
YOR265W	RBL2	4.1	12.3	9.1	16.2
YOR266W	PNT1	2.2	1.3	1.4	2.5
YOR269W	PAC1	9.3	7.4	6.3	11.1
YOR270C	VPH1	5.5	21.8	15.4	31.9
YOR272W	YTM1	3.0	6.2	5.5	8.5
YOR274W	MOD5	3.5	5.8	4.6	10.9
YOR275C	RIM20	6.5	10.9	7.6	19.4
YOR276W	CAF20	3.2	12.4	10.2	14.9
YOR278W	HEM4	4.3	8.1	6.5	11.9
YOR279C	RFM1	2.5	3.1	2.7	6.6
YOR280C	FSH3	5.9	14.9	11.5	20.3
YOR281C	PLP2	1.9	3.6	3.1	4.8
YOR283W		1.8	3.0	2.8	4.3
YOR284W	HUA2	2.6	5.7	4.6	9.3
YOR286W	RDL2	4.1	7.6	5.8	10.6
YOR287C	RRP36	1.4	2.5	2.4	3.2
YOR288C	MPD1	9.7	14.9	12.2	20.2
YOR290C	SNF2	10.8	38.5	27.3	59.0
YOR291W	YPK9	4.4	9.0	7.1	13.4
YOR293W	RPS10A	4.2	13.4	10.3	16.5
YOR294W	RRS1	1.4	2.9	2.8	3.4
YOR295W	UAF30	1.3	1.9	1.9	3.0
YOR298C-A	MBF1	8.6	28.4	15.9	51.4
YOR299W	BUD7	3.4	7.4	6.1	11.3
YOR301W	RAX1	2.8	14.0	9.0	21.8
YOR303W	CPA1	2.1	3.4	3.0	6.7
YOR305W	RRG7	3.4	7.5	5.1	15.9
YOR306C	MCH5	11.9	52.4	27.4	109.4
YOR307C	SLY41	4.1	14.9	9.3	28.0
YOR308C	SNU66	1.6	2.9	2.7	4.1
YOR310C	NOP58	1.9	4.3	3.8	6.3
YOR311C	DGK1	2.2	3.6	3.3	5.8
YOR312C	RPL20B	3.6	13.7	12.0	16.6
YOR315W	SFG1	1.3	2.4	2.1	3.7
YOR316C	COT1	3.7	7.3	6.5	10.5
YOR319W	HSH49	2.0	4.1	3.5	6.6
YOR320C	GNT1	2.6	5.7	5.0	8.0
YOR321W	PMT3	4.5	18.9	15.7	24.0
YOR322C	LDB19	3.7	7.2	5.7	14.9
YOR323C	PRO2	4.7	22.9	17.7	30.3
YOR324C	FRT1	3.8	4.5	3.8	6.9
YOR326W	MYO2	7.4	50.2	28.6	95.5
YOR327C	SNC2	4.2	9.3	8.2	11.7
YOR328W	PDR10	4.0	7.7	5.3	15.0
YOR329C	SCD5	4.8	7.2	5.9	11.1
YOR330C	MIP1	4.1	5.8	4.7	9.3
YOR335C	ALA1	2.3	31.6	21.6	43.6
YOR336W	KRE5	2.7	16.5	13.0	22.0
YOR337W	TEA1	1.9	4.3	3.3	8.6
YOR340C	RPA43	1.4	2.6	2.4	3.4
YOR341W	RPA190	2.3	20.7	13.5	33.6
YOR342C		2.0	3.2	2.8	6.1
YOR344C	TYE7	8.3	25.3	14.9	45.8
YOR349W	CIN1	12.3	33.3	24.9	46.9
YOR350C	MNE1	2.3	4.7	3.9	8.6
YOR352W	TFB6	5.7	7.4	6.5	10.9
YOR354C	MSC6	4.0	5.3	4.2	8.6
YOR355W	GDS1	1.8	4.9	4.2	7.2
YOR356W	CIR2	2.6	10.3	8.8	14.8
YOR357C	SNX3	7.5	10.8	7.3	19.9
YOR358W	HAP5	2.7	5.3	4.4	6.8
YOR359W	VTS1	1.0	1.1	1.3	2.5
YOR360C	PDE2	3.6	4.7	4.2	8.0
YOR361C	PRT1	3.6	30.0	18.5	48.9
YOR362C	PRE10	4.3	12.8	8.5	20.3
YOR363C	PIP2	7.8	8.4	6.9	13.3
YOR367W	SCP1	8.0	13.3	9.9	16.8
YOR368W	RAD17	3.7	4.4	3.6	8.4
YOR369C	RPS12	4.9	19.9	14.7	23.5
YOR372C	NDD1	6.6	6.5	4.6	11.5
YOR373W	NUD1	7.4	24.2	16.7	34.3
YOR377W	ATF1	9.6	14.6	10.8	22.4
YOR380W	RDR1	4.6	11.0	6.4	17.7
YOR381W	FRE3	4.2	9.0	6.0	15.1
YOR383C	FIT3	11.9	52.2	29.6	129.6
YOR384W	FRE5	6.3	9.6	6.5	16.2
YPL001W	HAT1	7.7	14.6	6.7	24.5
YPL002C	SNF8	5.1	13.4	9.0	21.6
YPL004C	LSP1	6.0	11.6	9.3	16.3
YPL006W	NCR1	7.5	18.3	11.6	28.3
YPL008W	CHL1	2.0	3.5	2.8	5.9
YPL010W	RET3	5.1	11.7	8.9	16.4
YPL011C	TAF3	2.4	3.9	3.5	7.5
YPL012W	RRP12	1.6	17.4	10.3	27.8
YPL013C	MRPS16	3.9	4.9	4.3	6.5
YPL015C	HST2	2.9	5.9	5.0	8.1
YPL016W	SWI1	3.4	44.4	30.7	62.2
YPL017C	IRC15	6.7	10.2	7.0	20.3
YPL018W	CTF19	8.1	11.3	8.1	18.4
YPL019C	VTC3	4.7	31.5	17.4	51.1
YPL020C	ULP1	2.0	5.1	4.3	8.2
YPL022W	RAD1	2.5	5.0	4.4	8.3
YPL023C	MET12	2.6	5.9	4.7	10.3
YPL024W	RMI1	2.6	4.7	3.6	10.0
YPL026C	SKS1	1.0	2.0	2.2	3.2
YPL028W	ERG10	5.1	23.5	20.2	30.5
YPL029W	SUV3	1.1	3.3	3.2	4.4
YPL030W	TRM44	2.0	2.6	2.5	3.7
YPL031C	PHO85	4.8	8.5	7.6	11.1
YPL032C	SVL3	6.2	11.2	8.0	19.3
YPL036W	PMA2	7.7	14.1	9.7	26.4
YPL037C	EGD1	5.7	27.5	22.6	32.8
YPL038W	MET31	3.6	4.8	4.1	8.4
YPL040C	ISM1	2.4	4.5	4.1	6.9
YPL042C	SSN3	3.9	5.2	4.3	9.8
YPL043W	NOP4	1.2	2.9	2.7	3.9
YPL045W	VPS16	2.8	5.4	4.8	8.5
YPL046C	ELC1	2.4	2.6	2.4	3.5
YPL047W	SGF11	2.8	3.5	3.0	5.2
YPL048W	CAM1	6.5	59.9	41.8	99.6
YPL049C	DIG1	2.7	4.5	4.1	6.3
YPL050C	MNN9	2.3	3.6	3.4	4.9
YPL051W	ARL3	2.2	3.7	3.5	5.5
YPL052W	OAZ1	1.1	2.4	2.3	3.7
YPL053C	KTR6	2.9	6.4	5.4	9.3
YPL055C	LGE1	2.5	5.5	5.1	7.4
YPL057C	SUR1	2.7	3.6	3.1	5.2
YPL059W	GRX5	3.7	7.5	6.4	10.5
YPL060W	MFM1	3.9	5.1	3.9	8.7
YPL061W	ALD6	4.2	35.6	28.3	45.9
YPL063W	TIM50	3.2	6.5	5.6	8.5
YPL064C	CWC27	3.8	6.7	5.6	8.7
YPL065W	VPS28	5.0	9.2	7.6	12.4
YPL066W	RGL1	2.1	3.3	3.1	5.5
YPL070W	MUK1	2.2	3.8	3.5	6.6
YPL072W	UBP16	3.9	3.2	2.8	5.8
YPL074W	YTA6	3.9	4.9	4.3	7.3
YPL075W	GCR1	3.4	3.8	3.4	6.9
YPL076W	GPI2	6.7	12.2	8.1	20.6
YPL078C	ATP4	4.8	10.2	8.4	15.4
YPL079W	RPL21B	5.0	18.9	15.2	22.5
YPL081W	RPS9A	1.2	2.3	2.1	3.0
YPL082C	MOT1	2.0	3.1	2.9	4.7
YPL084W	BRO1	6.3	35.4	18.5	61.2
YPL085W	SEC16	4.7	33.9	22.9	48.7
YPL086C	ELP3	2.5	8.1	7.2	10.8
YPL087W	YDC1	5.3	10.8	8.5	14.5
YPL089C	RLM1	1.1	2.3	2.2	3.5
YPL090C	RPS6A	3.7	10.8	9.3	14.3
YPL091W	GLR1	6.6	33.7	27.0	44.5
YPL092W	SSU1	6.5	11.7	7.7	21.3
YPL093W	NOG1	1.1	2.9	2.8	3.9
YPL094C	SEC62	2.6	4.9	4.3	6.4
YPL095C	EEB1	4.3	9.5	6.3	19.3
YPL096C-A	ERI1	2.6	3.6	3.0	6.3
YPL096W	PNG1	3.8	6.6	4.8	9.8
YPL097W	MSY1	4.6	8.1	6.2	12.7
YPL098C	MGR2	4.6	14.0	11.1	18.3
YPL099C	AIM43	3.2	6.0	4.7	9.6
YPL100W	ATG21	11.7	20.0	15.5	27.2
YPL101W	ELP4	1.7	3.6	3.3	4.7
YPL104W	MSD1	10.3	14.6	9.2	24.4
YPL105C	SYH1	4.3	13.8	8.8	23.5
YPL110C	GDE1	8.0	49.0	34.3	82.3
YPL111W	CAR1	3.2	10.3	9.0	13.0
YPL112C	PEX25	4.0	6.8	5.4	11.5
YPL113C		23.6	27.8	18.0	58.4
YPL116W	HOS3	8.8	17.4	11.2	25.7
YPL117C	IDI1	3.8	8.6	7.2	11.6
YPL118W	MRP51	6.6	9.4	7.6	14.3
YPL120W	VPS30	7.4	15.3	9.6	30.7
YPL122C	TFB2	2.2	5.3	4.7	8.1
YPL126W	NAN1	2.6	14.6	10.3	22.5
YPL127C	HHO1	2.8	5.2	4.9	6.2
YPL128C	TBF1	2.7	2.8	2.6	5.3
YPL129W	TAF14	3.8	6.7	5.9	8.6
YPL131W	RPL5	3.7	16.8	13.6	19.7
YPL132W	COX11	3.9	4.2	3.7	6.0
YPL133C	RDS2	3.7	4.4	3.6	6.7
YPL134C	ODC1	5.9	12.8	9.5	16.3
YPL135W	ISU1	3.7	5.0	4.5	8.5
YPL137C	GIP3	4.3	13.7	8.8	22.4
YPL139C	UME1	2.6	5.3	4.5	8.7
YPL140C	MKK2	4.2	6.5	5.4	10.5
YPL141C	FRK1	2.5	4.4	3.7	6.4
YPL143W	RPL33A	3.8	24.0	17.2	36.0
YPL144W	POC4	1.4	1.9	1.8	2.6
YPL145C	KES1	2.3	13.9	10.4	20.7
YPL149W	ATG5	2.5	5.5	4.5	10.6
YPL151C	PRP46	14.1	13.8	10.0	20.1
YPL153C	RAD53	4.2	4.6	3.7	8.3
YPL156C	PRM4	2.4	3.2	2.9	5.3
YPL157W	TGS1	1.8	3.0	2.8	4.8
YPL158C	AIM44	2.5	3.6	3.3	5.4
YPL159C	PET20	4.4	6.2	5.0	10.2
YPL160W	CDC60	2.6	48.0	34.8	68.7
YPL161C	BEM4	2.4	5.1	4.5	7.1
YPL163C	SVS1	2.7	7.3	6.1	10.4
YPL164C	MLH3	4.6	7.0	5.8	10.2
YPL165C	SET6	15.9	21.1	13.7	34.6
YPL167C	REV3	4.7	5.4	4.5	10.9
YPL169C	MEX67	12.2	26.3	16.2	44.1
YPL171C	OYE3	4.0	6.8	4.8	11.1
YPL172C	COX10	2.6	2.8	2.7	4.6
YPL173W	MRPL40	2.4	4.0	3.7	6.6
YPL174C	NIP100	2.6	4.4	3.8	8.6
YPL175W	SPT14	1.7	3.1	2.8	5.3
YPL176C	TRE1	5.9	17.6	12.9	25.3
YPL177C	CUP9	2.3	3.3	2.9	5.9
YPL178W	CBC2	4.2	4.9	4.2	7.5
YPL180W	TCO89	4.0	7.2	6.0	11.4
YPL181W	CTI6	4.4	6.9	5.4	11.5
YPL183C	RTT10	1.5	5.1	4.3	7.4
YPL183W-A	RTC6	2.5	3.3	3.1	5.4
YPL184C	MRN1	5.0	27.0	15.2	43.4
YPL188W	POS5	7.1	23.8	12.7	41.6
YPL189C-A	COA2	1.7	3.0	2.4	5.3
YPL193W	RSA1	2.3	5.0	4.0	9.0
YPL195W	APL5	3.6	38.2	21.0	76.8
YPL196W	OXR1	11.4	19.9	12.6	32.4
YPL203W	TPK2	4.9	16.4	12.6	24.6
YPL204W	HRR25	3.7	5.6	4.8	9.1
YPL206C	PGC1	6.7	13.5	9.6	20.4
YPL207W	TYW1	3.3	11.0	9.1	15.8
YPL208W	RKM1	3.4	7.4	6.7	8.7
YPL209C	IPL1	1.8	4.8	3.6	8.8
YPL210C	SRP72	3.4	6.7	4.8	14.5
YPL211W	NIP7	1.6	3.1	2.8	4.3
YPL212C	PUS1	1.1	2.5	2.2	4.0
YPL213W	LEA1	4.0	6.7	5.1	12.9
YPL214C	THI6	4.4	17.5	10.3	29.3
YPL215W	CBP3	3.6	4.9	4.3	8.5
YPL217C	BMS1	2.5	19.6	16.4	22.7
YPL218W	SAR1	4.7	15.1	11.7	18.5
YPL219W	PCL8	4.4	5.6	4.9	9.0
YPL220W	RPL1A	3.5	31.7	18.4	63.9
YPL221W	FLC1	1.0	2.6	2.6	3.4
YPL224C	MMT2	8.7	17.0	11.7	24.5
YPL225W		14.5	40.8	26.6	81.1
YPL226W	NEW1	2.0	37.1	25.4	56.0
YPL227C	ALG5	1.8	2.7	2.6	3.6
YPL228W	CET1	4.7	8.5	6.3	11.8
YPL232W	SSO1	3.2	7.1	6.1	9.8
YPL233W	NSL1	2.1	4.6	4.2	6.1
YPL234C	VMA11	5.6	22.6	13.9	34.0
YPL235W	RVB2	4.0	7.1	5.9	12.9
YPL236C	ENV7	7.4	10.1	6.9	15.3
YPL237W	SUI3	4.4	5.6	5.0	8.3
YPL243W	SRP68	2.3	3.8	3.4	5.9
YPL244C	HUT1	2.1	4.0	3.5	5.9
YPL246C	RBD2	2.4	3.9	3.6	5.1
YPL248C	GAL4	12.1	41.0	19.4	81.4
YPL252C	YAH1	2.5	5.2	3.8	7.9
YPL253C	VIK1	4.3	13.2	7.1	25.1
YPL254W	HFI1	1.1	3.6	3.3	6.3
YPL258C	THI21	7.4	21.2	13.9	34.9
YPL259C	APM1	4.0	5.3	4.4	10.4
YPL260W		12.4	43.7	28.2	75.3
YPL263C	KEL3	2.7	15.7	12.2	23.9
YPL266W	DIM1	2.5	4.6	3.9	6.3
YPL268W	PLC1	2.2	3.8	3.5	6.4
YPL269W	KAR9	3.7	7.2	5.1	14.9
YPL270W	MDL2	4.0	8.5	6.7	13.1
YPL271W	ATP15	3.6	5.7	4.2	8.5
YPL273W	SAM4	3.7	10.5	8.6	13.9
YPL274W	SAM3	2.2	4.8	4.1	7.2
YPR002W	PDH1	12.1	32.8	15.6	60.1
YPR004C	AIM45	3.6	8.4	7.3	11.5
YPR005C	HAL1	6.4	8.1	5.9	15.4
YPR006C	ICL2	7.2	21.5	14.5	34.6
YPR007C	REC8	3.5	5.4	3.5	9.8
YPR008W	HAA1	4.1	4.9	4.4	6.7
YPR009W	SUT2	3.6	6.3	5.3	10.2
YPR010C	RPA135	1.7	8.9	7.1	12.0
YPR011C		4.2	5.7	5.2	8.3
YPR016C	TIF6	1.8	5.0	4.3	6.8
YPR017C	DSS4	1.2	2.4	2.3	3.1
YPR019W	MCM4	4.4	22.3	13.2	36.7
YPR020W	ATP20	2.8	4.6	3.9	7.0
YPR021C	AGC1	4.5	8.8	6.1	17.9
YPR023C	EAF3	3.3	6.8	5.7	9.4
YPR024W	YME1	6.2	18.4	13.7	26.2
YPR025C	CCL1	8.6	8.4	6.6	14.3
YPR028W	YOP1	16.6	50.5	31.7	123.2
YPR029C	APL4	5.1	9.2	6.7	16.5
YPR030W	CSR2	6.5	24.9	15.9	39.3
YPR031W	NTO1	1.2	2.3	2.2	3.1
YPR032W	SRO7	2.5	34.2	20.1	68.8
YPR033C	HTS1	3.7	34.6	20.9	57.6
YPR034W	ARP7	2.5	4.1	3.7	6.7
YPR035W	GLN1	1.2	4.3	3.9	6.7
YPR036W-A		4.6	5.6	5.2	8.2
YPR037C	ERV2	10.3	16.1	12.0	23.0
YPR040W	TIP41	10.4	10.1	6.3	17.8
YPR041W	TIF5	2.1	3.9	3.4	6.8
YPR042C	PUF2	6.9	54.0	35.5	106.1
YPR045C	THP3	7.9	21.5	13.7	31.6
YPR047W	MSF1	6.7	8.0	6.0	14.3
YPR048W	TAH18	2.0	3.6	3.2	5.8
YPR049C	ATG11	3.6	7.1	5.7	14.5
YPR052C	NHP6A	2.3	7.1	5.7	11.4
YPR054W	SMK1	3.9	5.4	4.8	8.5
YPR060C	ARO7	3.8	8.1	6.5	15.3
YPR062W	FCY1	3.4	9.5	6.8	14.3
